Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary
f,22/10/1990,87.8,cbse,2009,84,cbse,1,B.Tech/B.E.,instrumentation and control engineering,73.82,1,Delhi,2013,650,665,810,0.694479328,485,366,-1,-1,-1,-1,-1,-0.159,0.3789,1.2396,0.1459,0.2889,445000
m,15/05/1990,57,cbse,2010,64.5,cbse,2,B.Tech/B.E.,computer science & engineering,65,0,Uttar Pradesh,2014,440,435,210,0.3423149,365,-1,-1,-1,-1,-1,-1,1.1336,0.0459,1.2396,0.5262,-0.2859,110000
m,21/08/1989,77.33,"maharashtra state board,pune",2007,85.17,amravati divisional board,2,B.Tech/B.E.,electronics & telecommunications,61.94,0,Maharashtra,2011,485,475,505,0.824666401,-1,400,-1,-1,-1,260,-1,0.51,-0.1232,1.5428,-0.2902,-0.2875,255000
m,04/05/1991,84.3,cbse,2009,86,cbse,1,B.Tech/B.E.,computer science & engineering,80.4,1,Delhi,2013,675,620,635,0.990008757,655,-1,-1,-1,-1,-1,-1,-0.4463,0.2124,0.3174,0.2727,0.4805,420000
f,30/10/1990,82,cbse,2008,75,cbse,2,B.Tech/B.E.,biotechnology,64.3,1,Tamil Nadu,2012,575,495,365,0.278457409,315,-1,-1,-1,-1,-1,-1,-1.4992,-0.7473,-1.0697,0.06223,0.1864,200000
f,02/12/1989,83.16,icse,2007,77,cbse,1,M.Tech./M.E.,instrumentation and control engineering,99.93,0,Punjab,2013,535,595,620,0.376059587,455,300,-1,-1,-1,313,-1,0.8463,-0.6201,-0.7585,-0.995,-0.2859,440000
f,17/04/1989,72.5,state board,2007,53.2,state board,2,B.Tech/B.E.,mechanical engineering,68,1,West Bengal,2013,510,495,405,0.8295846,-1,-1,-1,469,-1,-1,-1,0.1282,-0.4536,0.3174,0.9066,-0.0943,150000
f,11/04/1991,77,state board,2009,88,state board,2,B.Tech/B.E.,computer science & engineering,71,1,Telangana,2013,370,470,280,0.704090412,465,-1,-1,-1,-1,-1,-1,0.1282,0.5454,0.4711,0.9066,-0.2859,105000
m,25/11/1992,76.8,state board,2010,87.7,state board,2,B.Tech/B.E.,information technology,73.15,0,Andhra Pradesh,2014,510,555,440,0.744758354,525,-1,438,-1,-1,-1,-1,-0.159,-0.4536,0.1637,0.5262,-0.0943,195000
f,15/03/1993,57,state board,2009,73,state board,2,B.Tech/B.E.,computer science & engineering,70.08,0,Uttar Pradesh,2014,500,410,560,0.622642916,385,-1,407,-1,-1,-1,-1,-0.7335,-0.4536,-0.2974,1.4136,0.6721,200000
m,21/06/1990,77,state board,2008,75,state board,2,B.Tech/B.E.,electronics & telecommunications,62,0,Maharashtra,2013,675,630,485,0.20739217,405,260,-1,-1,-1,-1,-1,1.7081,0.5454,0.9322,-0.4879,0.8637,335000
m,02/07/1992,81.2,state board,2008,79.9,state board,2,B.Tech/B.E.,instrumentation and control engineering,67.67,0,Uttar Pradesh,2013,395,565,645,-1,495,-1,376,-1,-1,-1,-1,0.7027,0.7119,0.01,-0.995,0.6721,300000
f,24/12/1991,85,delhi board,2009,88,all india board,2,B.Tech/B.E.,information technology,85,0,Haryana,2013,495,445,605,0.765673581,485,-1,-1,-1,-1,-1,-1,-1.9629,-2.1903,-2.775,0.4148,-0.4455,480000
f,09/08/1992,90,state board,2009,82.1,state board,2,B.Tech/B.E.,computer science & engineering,85,0,Telangana,2014,640,530,705,0.486747008,615,-1,376,-1,-1,-1,-1,0.99,0.7119,-0.1437,-1.1218,0.8637,550000
m,12/09/1991,86.4,cbse,2009,86.2,cbse,2,B.Tech/B.E.,electronics and communication engineering,81.4,1,West Bengal,2014,720,630,750,0.338786347,485,292,-1,-1,-1,228,-1,1.2772,1.0449,0.7785,-1.2486,0.6721,325000
m,30/09/1990,84.13,0,2008,77,0,2,B.Tech/B.E.,information technology,75.2,0,Karnataka,2012,385,515,465,0.525922584,415,-1,-1,-1,-1,-1,-1,0.1623,0.9688,1.1074,0.4442,-0.1295,405000
m,25/05/1988,81.7,hse,2005,75.8,chse,2,B.Tech/B.E.,computer engineering,78.7,0,Orissa,2011,475,245,485,0.735795709,475,-1,-1,-1,-1,-1,-1,-1.3447,-1.3713,-0.4891,0.1798,1.2923,500000
f,25/02/1992,86,cbse,2010,89,cbse,2,B.Tech/B.E.,computer science & engineering,73.9,0,Uttar Pradesh,2014,520,570,620,0.953899775,425,-1,530,-1,-1,-1,-1,1.2772,0.0459,0.6248,-1.3753,0.6721,210000
m,25/10/1991,66.15,state board,2009,54,state board,2,B.Tech/B.E.,computer science & engineering,66,0,Maharashtra,2013,360,495,280,0.793580615,495,-1,-1,-1,-1,-1,-1,-0.1855,-0.1232,-0.4891,-1.2303,-1.3934,400000
m,22/05/1991,79.29,icse,2009,68.67,cbse,2,B.Tech/B.E.,computer science & engineering,76,0,Tamil Nadu,2013,545,505,595,0.356536488,555,-1,346,-1,-1,-1,-1,0.2718,0.7119,0.3174,-0.1076,1.4386,360000
m,21/11/1987,60,state board,2006,50,state board,2,B.Tech/B.E.,computer science & engineering,69.94,0,Orissa,2013,240,340,430,0.143256541,295,-1,-1,-1,-1,-1,-1,-1.8825,-2.2851,-0.2974,-0.2344,-0.6692,240000
f,14/01/1992,58.4,cbse,2008,64.8,cbse,2,MCA,computer application,80,0,Haryana,2014,440,415,554,0.793580615,495,-1,-1,-1,-1,-1,-1,0.335,0.0924,-0.6582,-0.4821,-0.1543,120000
m,03/11/1986,61,0,2003,59,0,2,B.Tech/B.E.,information technology,63,1,Karnataka,2011,355,565,495,0.930370607,565,-1,-1,-1,-1,-1,-1,-0.881,0.6568,0.672,1.4724,0.3444,430000
m,05/08/1988,50,board of school education harayana,2008,64,state board of technical education harayana,2,B.Tech/B.E.,electronics and communication engineering,70,0,Haryana,2011,345,365,445,0.538386893,-1,333,-1,-1,-1,-1,-1,-0.4173,-1.3713,0.9042,1.5578,0.3444,120000
f,10/04/1991,67.06,state board,2008,70.67,state board,2,B.Tech/B.E.,computer engineering,55.5,1,Maharashtra,2012,440,440,385,0.144789889,435,-1,284,-1,-1,-1,-1,1.1336,-0.2871,-0.1437,0.1459,0.2889,120000
f,09/03/1990,67,cbse,2008,61,cbse,2,B.Tech/B.E.,computer science & engineering,75,0,Chhattisgarh,2012,370,410,320,0.488347977,405,-1,-1,-1,-1,-1,-1,-0.159,-0.2871,-0.9122,-0.6147,-0.6692,120000
m,04/05/1992,73,state board,2009,71,state board,2,B.Tech/B.E.,information technology,61,1,Rajasthan,2013,180,365,310,0.074546265,255,433,-1,313,-1,-1,322,-2.0262,-1.9521,-2.6028,0.0192,-2.5853,600000
m,20/12/1988,86.17,rbse,2006,78.6,cbse,1,B.Tech/B.E.,computer engineering,73.34,1,Rajasthan,2010,505,495,695,0.987207086,645,-1,-1,-1,-1,-1,-1,-1.4992,0.5008,0.2366,0.6498,0.6603,500000
m,10/03/1990,78,icse,2009,75,cbse,2,B.Tech/B.E.,mechanical engineering,73,0,Uttar Pradesh,2014,630,555,570,0.066960707,-1,-1,-1,253,-1,-1,-1,1.7081,-0.1206,0.01,-1.7556,0.2889,240000
m,17/09/1989,71.8,cbse,2007,68.2,cbse,2,B.Tech/B.E.,electronics and communication engineering,76.5,0,Punjab,2012,615,590,585,-1,485,-1,-1,-1,-1,-1,-1,-0.159,-0.7866,-0.7585,0.1459,-2.0105,200000
m,01/05/1992,66.66,u p board,2005,80.4,u p board,2,B.Tech/B.E.,information technology,64.29,0,Uttar Pradesh,2011,525,505,575,0.901489571,545,-1,-1,-1,-1,-1,-1,0.0464,0.3448,-0.344,-0.1727,-0.1295,80000
m,26/02/1992,85,state board,2009,81,state board,2,B.Tech/B.E.,computer science & engineering,76.7,1,West Bengal,2013,455,530,440,0.622642916,455,-1,407,-1,-1,-1,-1,1.7081,0.8784,1.7007,0.1459,0.8637,330000
f,04/04/1990,83.6,cbse,2008,74,cbse,2,B.Tech/B.E.,information technology,71,0,Uttar Pradesh,2013,615,595,720,0.987207086,645,-1,-1,-1,-1,-1,-1,-0.7335,0.0459,0.6248,-0.6147,0.2889,450000
m,18/06/1990,61.69,state board,2008,60.66,state board,1,MCA,computer application,77.5,0,Punjab,2014,440,605,520,0.356536488,575,-1,346,-1,-1,-1,-1,0.5591,0.3789,0.6248,0.3995,-1.0524,240000
m,01/09/1991,85,cbse,2009,82,cbse,2,B.Tech/B.E.,electronics and communication engineering,81,1,Karnataka,2013,730,525,690,0.694479328,465,366,-1,-1,-1,393,-1,0.99,0.2124,0.6248,0.2727,-1.0524,325000
m,26/06/1991,80.13,state board,2008,69.17,state board,2,B.Tech/B.E.,computer science and technology,60.34,0,Maharashtra,2012,590,440,385,0.996744487,475,-1,623,-1,-1,-1,-1,-0.5899,-0.6201,0.4711,-0.3612,-0.2859,215000
m,22/12/1991,82.5,cbse,2009,85,state board,2,B.Tech/B.E.,information technology,75,1,Tamil Nadu,2013,545,485,530,0.600057182,435,-1,-1,-1,-1,-1,-1,0.1282,-1.9521,-0.6048,0.653,0.6721,315000
m,03/05/1992,63.5,state board,2010,65.72,state board,2,B.Tech/B.E.,computer science & engineering,60,0,Andhra Pradesh,2014,430,460,320,0.23780284,355,-1,315,-1,-1,-1,-1,0.5591,1.0449,0.3174,-0.2344,0.6721,220000
m,08/12/1991,64,cbse,2010,62,cbse,2,B.Tech/B.E.,computer science & engineering,75,0,Uttar Pradesh,2014,345,470,365,0.356536488,435,-1,346,-1,-1,-1,-1,-0.3027,-0.4536,-2.4491,1.0333,-0.2859,180000
m,01/01/1988,76,"bse, odisha",2005,61,chse,2,MCA,computer application,85,0,Orissa,2012,464,475,575,0.960903087,595,-1,-1,-1,-1,-1,-1,-1.4992,-1.3713,-0.6343,0.1798,-1.1169,240000
m,21/09/1990,73,cbse,2008,76,cbse,2,B.Tech/B.E.,information technology,74,1,West Bengal,2013,465,570,415,0.356536488,575,-1,346,-1,-1,-1,-1,-1.5953,-0.1206,0.3174,0.2727,-1.4356,60000
m,08/12/1991,91,rajasthan board of secondary education,2008,83,rajasthan board of secondary education,2,B.Tech/B.E.,computer engineering,71,0,Rajasthan,2012,475,495,565,0.930370607,565,-1,-1,-1,-1,-1,-1,1.1283,0.6568,-0.344,-0.7603,-0.4455,165000
m,27/09/1986,65,cbse,2007,47.6,cbse,2,MCA,computer application,63,0,Karnataka,2013,415,365,475,0.600057182,435,-1,-1,-1,-1,-1,-1,0.2009,-0.7473,0.3817,0.5323,0.3444,180000
m,14/11/1991,70.16,state board,2007,66.8,state board,2,MCA,computer application,69.7,0,Punjab,2014,275,485,530,0.486747008,475,-1,376,-1,-1,-1,-1,-0.4463,-1.1196,0.01,0.5262,-0.0943,150000
m,07/10/1988,74.6,cbse,2005,80.8,cbse,2,B.Tech/B.E.,electronics and communication engineering,72.45,0,Uttar Pradesh,2010,535,415,635,0.960603252,-1,466,-1,-1,-1,-1,-1,0.8192,0.3448,1.1074,-0.1727,1.4502,370000
m,21/08/1991,66.5,state board,2008,66.4,state board,2,B.Tech/B.E.,electrical engineering,66,0,Uttar Pradesh,2013,500,560,560,0.376059587,-1,300,-1,-1,-1,-1,-1,-0.5719,0.8351,0.2477,-0.6428,-0.4455,145000
m,09/02/1991,78.4,cbse,2009,58.4,cbse,2,B.Tech/B.E.,automobile/automotive engineering,76.5,0,Orissa,2013,545,535,605,0.986525019,-1,-1,-1,580,-1,-1,-1,-0.3027,1.5444,0.3174,1.5404,0.8637,100000
m,19/11/1984,62,up board,2002,62,up board,2,MCA,computer application,72.02,0,Uttar Pradesh,2010,505,445,575,0.864685413,525,-1,-1,-1,-1,-1,-1,0.0464,0.2668,-1.7954,-0.6428,-1.2354,300000
m,30/07/1990,52.93,state board,2008,64,state board,2,B.Tech/B.E.,information technology,73,0,Maharashtra,2014,325,375,370,0.911395278,495,-1,500,-1,-1,-1,-1,0.2718,-0.1206,0.3174,-1.8824,-0.4776,240000
