Gender_f,Gender_m,10board_0,10board_board of secondary education,10board_cbse,10board_icse,10board_matriculation,10board_other,10board_rbse,10board_ssc,10board_state board,10board_up,10board_up board,10board_wbbse,12board_0,12board_board of intermediate,12board_board of intermediate education,12board_cbse,12board_chse,12board_icse,12board_isc,12board_mp board,12board_other,12board_rbse,12board_state board,12board_up,12board_up board,Degree_B.Tech/B.E.,Degree_MCA,Degree_other,Specialization_computer application,Specialization_computer engineering,Specialization_computer science & engineering,Specialization_electrical engineering,Specialization_electronics & instrumentation eng,Specialization_electronics & telecommunications,Specialization_electronics and communication engineering,Specialization_electronics and electrical engineering,Specialization_information technology,Specialization_mechanical engineering,Specialization_other,CollegeState_Andhra Pradesh,CollegeState_Delhi,CollegeState_Haryana,CollegeState_Karnataka,CollegeState_Madhya Pradesh,CollegeState_Maharashtra,CollegeState_Orissa,CollegeState_Punjab,CollegeState_Rajasthan,CollegeState_Tamil Nadu,CollegeState_Telangana,CollegeState_Uttar Pradesh,CollegeState_Uttarakhand,CollegeState_West Bengal,CollegeState_other,Age,10percentage,12graduation,12percentage,CollegeTier,collegeGPA,CollegeCityTier,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,87.8,2009,84,1,73.82,1,2013,650,665,810,0.694479328,485,366,406.5014286,402.026738,423.3360656,349.879562,338.8076923,-0.159,0.3789,1.2396,0.1459,0.2889,445000
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,57,2010,64.5,2,65,0,2014,440,435,210,0.3423149,365,335.982659,406.5014286,402.026738,423.3360656,349.879562,338.8076923,1.1336,0.0459,1.2396,0.5262,-0.2859,110000
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31,77.33,2007,85.17,2,61.94,0,2011,485,475,505,0.824666401,449.5536627,400,406.5014286,402.026738,423.3360656,260,338.8076923,0.51,-0.1232,1.5428,-0.2902,-0.2875,255000
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,84.3,2009,86,1,80.4,1,2013,675,620,635,0.990008757,655,335.982659,406.5014286,402.026738,423.3360656,349.879562,338.8076923,-0.4463,0.2124,0.3174,0.2727,0.4805,420000
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,82,2008,75,2,64.3,1,2012,575,495,365,0.278457409,315,335.982659,406.5014286,402.026738,423.3360656,349.879562,338.8076923,-1.4992,-0.7473,-1.0697,0.06223,0.1864,200000
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,83.16,2007,77,1,99.93,0,2013,535,595,620,0.376059587,455,300,406.5014286,402.026738,423.3360656,313,338.8076923,0.8463,-0.6201,-0.7585,-0.995,-0.2859,440000
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,72.5,2007,53.2,2,68,1,2013,510,495,405,0.8295846,449.5536627,335.982659,406.5014286,469,423.3360656,349.879562,338.8076923,0.1282,-0.4536,0.3174,0.9066,-0.0943,150000
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29,77,2009,88,2,71,1,2013,370,470,280,0.704090412,465,335.982659,406.5014286,402.026738,423.3360656,349.879562,338.8076923,0.1282,0.5454,0.4711,0.9066,-0.2859,105000
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,76.8,2010,87.7,2,73.15,0,2014,510,555,440,0.744758354,525,335.982659,438,402.026738,423.3360656,349.879562,338.8076923,-0.159,-0.4536,0.1637,0.5262,-0.0943,195000
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,57,2009,73,2,70.08,0,2014,500,410,560,0.622642916,385,335.982659,407,402.026738,423.3360656,349.879562,338.8076923,-0.7335,-0.4536,-0.2974,1.4136,0.6721,200000
